자치구,대여소명,기준년월,대여건수,반납건수
금천구,1841. 가산동 주민센터,202501,1026,1000
금천구,1842. 한울중학교,202501,103,31
금천구,1843. 독산고등학교,202501,287,209
금천구,1845. 롯데캐슬골드파크1차 서문,202501,347,316
금천구,1846. 롯데캐슬골드파크1차 동문,202501,502,475
금천구,1847. 독산주공 14단지 버스정류소,202501,147,104
금천구,1848. 벽산 디지털밸리 5차,202501,731,879
동작구,2058. 동작경찰서,202501,722,861
동작구,2059. 보라매공원 정문,202501,621,647
동작구,2060. 남성역3번출구 뒤,202501,619,639
동작구,2062. 사당새마을금고,202501,174,126
관악구,2159. 인헌초교,202501,101,62
서초구,2266. 서초역 3번출구,202501,395,393
중구,300. 정동사거리,202501,489,478
서초구,2269. 주홍교 하부,202501,83,40
서초구,2270. 서초포레스타 7단지,202501,139,134
서초구,2271. 내방역 8번출구 앞,202501,422,458
서초구,2272. 교대입구 교차로,202501,198,187
서초구,2273. 일동제약 사거리,202501,237,240
서초구,2274. 양재시민의숲역 3번출구,202501,698,696
서초구,2276. 영동1교 (양재천근린공원),202501,289,276
서초구,2277. 길마중4교 하부,202501,416,517
종로구,301. 경복궁역 7번출구 앞,202501,490,356
강남구,2362. 신사동 가로수길 입구,202501,333,321
강남구,2363. 강남 을지병원 교차로,202501,130,133
강남구,2364. 도산공원교차로,202501,226,226
강남구,2365. K+ 타워 앞,202501,268,278
강남구,2368. 도곡동 경남아파트 건너편,202501,280,184
강남구,2369. KT선릉타워,202501,696,725
강남구,2370. 한티역 3번출구,202501,205,198
종로구,302. 경복궁역 6번출구 뒤,202501,935,933
강남구,2371. 한국우편사업진흥원,202501,86,49
강남구,2372. 대치역 사거리,202501,395,539
강남구,2373. 개포동역 사거리,202501,194,164
강남구,2375. 수서역 1번출구 앞,202501,540,610
강남구,2376. 수서역 6번출구 앞,202501,339,372
강남구,2377. 수서역 5번출구,202501,1134,1170
서대문구,3100. 북성초교,202501,128,110
서대문구,3101. 서대문구청,202501,150,150
종로구,303. 광화문역 1번출구 앞,202501,1370,1350
서대문구,3102. 연희삼거리,202501,455,450
광진구,3506. 영동대교 북단,202501,719,716
광진구,3507. 어린이회관,202501,604,380
광진구,3508. 화양사거리,202501,594,523
광진구,3509. 세종사이버대학교,202501,1656,1706
성동구,3511. 응봉역 1번출구,202501,1131,1166
성동구,3513. 상왕십리역 1번출구,202501,1328,589
성동구,3514. 왕십리교회옆,202501,1270,1271
성동구,3515. 서울숲 관리사무소,202501,350,346
서대문구,115. 마스타 빌딩 앞,202501,534,355
성북구,1336. 성북3교 위,202501,396,389
성북구,1337. 돈암성당 옆,202501,759,805
성북구,1338. 용문2교 옆,202501,805,836
성북구,1339. 삼성전자서비스 성북센터,202501,410,475
성북구,1340. 광운초등학교 앞,202501,417,404
성북구,1342. 성북쉼터 앞,202501,134,30
성북구,1343. 한성대7번출구 앞,202501,231,240
성북구,1344. 아리랑시네센터 앞,202501,260,94
종로구,305. 종로구청 옆,202501,1033,1087
성북구,1346. 길음8골어린이공원 옆,202501,454,445
성북구,1347. 길음래미안아파트817동 상가 앞,202501,134,130
성북구,1348. 성북제일새마을금고 본점 앞,202501,212,241
성북구,1349. 월계2교 버스정류장 앞,202501,187,189
성북구,1351. 안암2교 옆,202501,1002,1104
성북구,1352. e 편한세상 보문아파트 내,202501,81,46
성북구,1353. 금호어울림센터힐 내,202501,162,182
구로구,1956. 동아1차APT105동 버스정류장(신도림중학교 방면),202501,1068,1070
구로구,1957. 구일고등학교 정문 ,202501,1291,1264
구로구,1958. 강서수도사업소민원센터,202501,1619,1676
구로구,1960. 구로거리공원 동측(신도림역 방면),202501,644,558
구로구,1961. 신도림테크노근린공원,202501,1379,1473
구로구,1962. 가리봉동주민센터,202501,1025,1023
구로구,1964. 원메디타운 앞,202501,1075,1052
구로구,1965. 삼환로즈빌아파트 105동 옆,202501,541,516
구로구,1966. 한마을아파트 정문상가,202501,584,563
